trafficway_type,alignment,roadway_surface_condition,road_defect
FOUR WAY,"CURVE, LEVEL",DRY,UNKNOWN
FOUR WAY,"CURVE, LEVEL",DRY,WORN SURFACE
FOUR WAY,"CURVE, LEVEL",UNKNOWN,UNKNOWN
FOUR WAY,"CURVE, LEVEL",WET,NO DEFECTS
FOUR WAY,"CURVE, LEVEL",WET,UNKNOWN
FOUR WAY,"CURVE, LEVEL",WET,WORN SURFACE
FOUR WAY,STRAIGHT AND LEVEL,DRY,DEBRIS ON ROADWAY
FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS
FOUR WAY,STRAIGHT AND LEVEL,DRY,OTHER
FOUR WAY,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
FOUR WAY,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
FOUR WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN
FOUR WAY,STRAIGHT AND LEVEL,DRY,WORN SURFACE
FOUR WAY,STRAIGHT AND LEVEL,ICE,NO DEFECTS
FOUR WAY,STRAIGHT AND LEVEL,ICE,OTHER
FOUR WAY,STRAIGHT AND LEVEL,ICE,UNKNOWN
FOUR WAY,STRAIGHT AND LEVEL,ICE,WORN SURFACE
FOUR WAY,STRAIGHT AND LEVEL,OTHER,DEBRIS ON ROADWAY
FOUR WAY,STRAIGHT AND LEVEL,OTHER,NO DEFECTS
FOUR WAY,STRAIGHT AND LEVEL,OTHER,OTHER
FOUR WAY,STRAIGHT AND LEVEL,OTHER,"RUT, HOLES"
FOUR WAY,STRAIGHT AND LEVEL,OTHER,UNKNOWN
FOUR WAY,STRAIGHT AND LEVEL,OTHER,WORN SURFACE
FOUR WAY,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",DEBRIS ON ROADWAY
FOUR WAY,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",UNKNOWN
FOUR WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,DEBRIS ON ROADWAY
FOUR WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
FOUR WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,OTHER
FOUR WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,"RUT, HOLES"
FOUR WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,SHOULDER DEFECT
FOUR WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
FOUR WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,WORN SURFACE
FOUR WAY,STRAIGHT AND LEVEL,UNKNOWN,DEBRIS ON ROADWAY
FOUR WAY,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
FOUR WAY,STRAIGHT AND LEVEL,UNKNOWN,OTHER
FOUR WAY,STRAIGHT AND LEVEL,UNKNOWN,"RUT, HOLES"
FOUR WAY,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
FOUR WAY,STRAIGHT AND LEVEL,UNKNOWN,WORN SURFACE
FOUR WAY,STRAIGHT AND LEVEL,WET,DEBRIS ON ROADWAY
FOUR WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS
FOUR WAY,STRAIGHT AND LEVEL,WET,OTHER
FOUR WAY,STRAIGHT AND LEVEL,WET,"RUT, HOLES"
FOUR WAY,STRAIGHT AND LEVEL,WET,SHOULDER DEFECT
FOUR WAY,STRAIGHT AND LEVEL,WET,UNKNOWN
FOUR WAY,STRAIGHT AND LEVEL,WET,WORN SURFACE
FOUR WAY,STRAIGHT ON GRADE,DRY,NO DEFECTS
FOUR WAY,STRAIGHT ON GRADE,DRY,OTHER
FOUR WAY,STRAIGHT ON GRADE,DRY,"RUT, HOLES"
FOUR WAY,STRAIGHT ON GRADE,DRY,SHOULDER DEFECT
FOUR WAY,STRAIGHT ON GRADE,DRY,UNKNOWN
FOUR WAY,STRAIGHT ON GRADE,DRY,WORN SURFACE
FOUR WAY,STRAIGHT ON GRADE,ICE,NO DEFECTS
FOUR WAY,STRAIGHT ON GRADE,ICE,UNKNOWN
FOUR WAY,STRAIGHT ON GRADE,ICE,WORN SURFACE
FOUR WAY,STRAIGHT ON GRADE,OTHER,NO DEFECTS
FOUR WAY,STRAIGHT ON GRADE,OTHER,UNKNOWN
FOUR WAY,STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS
FOUR WAY,STRAIGHT ON GRADE,SNOW OR SLUSH,OTHER
FOUR WAY,STRAIGHT ON GRADE,SNOW OR SLUSH,UNKNOWN
FOUR WAY,STRAIGHT ON GRADE,SNOW OR SLUSH,WORN SURFACE
FOUR WAY,STRAIGHT ON GRADE,UNKNOWN,NO DEFECTS
FOUR WAY,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN
FOUR WAY,STRAIGHT ON GRADE,UNKNOWN,WORN SURFACE
FOUR WAY,STRAIGHT ON GRADE,WET,NO DEFECTS
FOUR WAY,STRAIGHT ON GRADE,WET,OTHER
FOUR WAY,STRAIGHT ON GRADE,WET,UNKNOWN
FOUR WAY,STRAIGHT ON GRADE,WET,WORN SURFACE
FOUR WAY,STRAIGHT ON HILLCREST,DRY,NO DEFECTS
FOUR WAY,STRAIGHT ON HILLCREST,DRY,UNKNOWN
FOUR WAY,STRAIGHT ON HILLCREST,ICE,NO DEFECTS
FOUR WAY,STRAIGHT ON HILLCREST,SNOW OR SLUSH,NO DEFECTS
FOUR WAY,STRAIGHT ON HILLCREST,SNOW OR SLUSH,UNKNOWN
FOUR WAY,STRAIGHT ON HILLCREST,WET,NO DEFECTS
FOUR WAY,STRAIGHT ON HILLCREST,WET,UNKNOWN
L-INTERSECTION,CURVE ON GRADE,SNOW OR SLUSH,NO DEFECTS
L-INTERSECTION,CURVE ON GRADE,WET,NO DEFECTS
L-INTERSECTION,"CURVE, LEVEL",DRY,NO DEFECTS
L-INTERSECTION,"CURVE, LEVEL",DRY,OTHER
L-INTERSECTION,STRAIGHT AND LEVEL,DRY,DEBRIS ON ROADWAY
L-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS
L-INTERSECTION,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
L-INTERSECTION,STRAIGHT AND LEVEL,DRY,UNKNOWN
L-INTERSECTION,STRAIGHT AND LEVEL,ICE,NO DEFECTS
L-INTERSECTION,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
L-INTERSECTION,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
L-INTERSECTION,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
L-INTERSECTION,STRAIGHT AND LEVEL,WET,NO DEFECTS
L-INTERSECTION,STRAIGHT AND LEVEL,WET,UNKNOWN
L-INTERSECTION,STRAIGHT ON GRADE,DRY,NO DEFECTS
L-INTERSECTION,STRAIGHT ON GRADE,DRY,SHOULDER DEFECT
L-INTERSECTION,STRAIGHT ON GRADE,DRY,UNKNOWN
L-INTERSECTION,STRAIGHT ON GRADE,DRY,WORN SURFACE
L-INTERSECTION,STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS
NOT DIVIDED,CURVE ON GRADE,DRY,NO DEFECTS
NOT DIVIDED,CURVE ON GRADE,DRY,"RUT, HOLES"
NOT DIVIDED,CURVE ON GRADE,DRY,UNKNOWN
NOT DIVIDED,CURVE ON GRADE,DRY,WORN SURFACE
NOT DIVIDED,CURVE ON GRADE,ICE,NO DEFECTS
NOT DIVIDED,CURVE ON GRADE,ICE,WORN SURFACE
NOT DIVIDED,CURVE ON GRADE,"SAND, MUD, DIRT",DEBRIS ON ROADWAY
NOT DIVIDED,CURVE ON GRADE,SNOW OR SLUSH,UNKNOWN
NOT DIVIDED,CURVE ON GRADE,UNKNOWN,OTHER
NOT DIVIDED,CURVE ON GRADE,UNKNOWN,UNKNOWN
NOT DIVIDED,CURVE ON GRADE,WET,NO DEFECTS
NOT DIVIDED,CURVE ON GRADE,WET,"RUT, HOLES"
NOT DIVIDED,CURVE ON GRADE,WET,SHOULDER DEFECT
NOT DIVIDED,CURVE ON GRADE,WET,UNKNOWN
NOT DIVIDED,CURVE ON GRADE,WET,WORN SURFACE
NOT DIVIDED,CURVE ON HILLCREST,DRY,NO DEFECTS
NOT DIVIDED,CURVE ON HILLCREST,DRY,"RUT, HOLES"
NOT DIVIDED,CURVE ON HILLCREST,"SAND, MUD, DIRT",WORN SURFACE
NOT DIVIDED,CURVE ON HILLCREST,SNOW OR SLUSH,NO DEFECTS
NOT DIVIDED,CURVE ON HILLCREST,WET,NO DEFECTS
NOT DIVIDED,"CURVE, LEVEL",DRY,DEBRIS ON ROADWAY
NOT DIVIDED,"CURVE, LEVEL",DRY,NO DEFECTS
NOT DIVIDED,"CURVE, LEVEL",DRY,OTHER
NOT DIVIDED,"CURVE, LEVEL",DRY,"RUT, HOLES"
NOT DIVIDED,"CURVE, LEVEL",DRY,UNKNOWN
NOT DIVIDED,"CURVE, LEVEL",DRY,WORN SURFACE
NOT DIVIDED,"CURVE, LEVEL",ICE,OTHER
NOT DIVIDED,"CURVE, LEVEL",ICE,UNKNOWN
NOT DIVIDED,"CURVE, LEVEL",SNOW OR SLUSH,NO DEFECTS
NOT DIVIDED,"CURVE, LEVEL",SNOW OR SLUSH,UNKNOWN
NOT DIVIDED,"CURVE, LEVEL",SNOW OR SLUSH,WORN SURFACE
NOT DIVIDED,"CURVE, LEVEL",UNKNOWN,UNKNOWN
NOT DIVIDED,"CURVE, LEVEL",WET,DEBRIS ON ROADWAY
NOT DIVIDED,"CURVE, LEVEL",WET,NO DEFECTS
NOT DIVIDED,"CURVE, LEVEL",WET,"RUT, HOLES"
NOT DIVIDED,"CURVE, LEVEL",WET,SHOULDER DEFECT
NOT DIVIDED,"CURVE, LEVEL",WET,UNKNOWN
NOT DIVIDED,"CURVE, LEVEL",WET,WORN SURFACE
NOT DIVIDED,STRAIGHT AND LEVEL,DRY,DEBRIS ON ROADWAY
NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS
NOT DIVIDED,STRAIGHT AND LEVEL,DRY,OTHER
NOT DIVIDED,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
NOT DIVIDED,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN
NOT DIVIDED,STRAIGHT AND LEVEL,DRY,WORN SURFACE
NOT DIVIDED,STRAIGHT AND LEVEL,ICE,NO DEFECTS
NOT DIVIDED,STRAIGHT AND LEVEL,ICE,OTHER
NOT DIVIDED,STRAIGHT AND LEVEL,ICE,"RUT, HOLES"
NOT DIVIDED,STRAIGHT AND LEVEL,ICE,SHOULDER DEFECT
NOT DIVIDED,STRAIGHT AND LEVEL,ICE,UNKNOWN
NOT DIVIDED,STRAIGHT AND LEVEL,ICE,WORN SURFACE
NOT DIVIDED,STRAIGHT AND LEVEL,OTHER,DEBRIS ON ROADWAY
NOT DIVIDED,STRAIGHT AND LEVEL,OTHER,NO DEFECTS
NOT DIVIDED,STRAIGHT AND LEVEL,OTHER,OTHER
NOT DIVIDED,STRAIGHT AND LEVEL,OTHER,"RUT, HOLES"
NOT DIVIDED,STRAIGHT AND LEVEL,OTHER,SHOULDER DEFECT
NOT DIVIDED,STRAIGHT AND LEVEL,OTHER,UNKNOWN
NOT DIVIDED,STRAIGHT AND LEVEL,OTHER,WORN SURFACE
NOT DIVIDED,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",DEBRIS ON ROADWAY
NOT DIVIDED,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",NO DEFECTS
NOT DIVIDED,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",OTHER
NOT DIVIDED,STRAIGHT AND LEVEL,"SAND, MUD, DIRT","RUT, HOLES"
NOT DIVIDED,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",UNKNOWN
NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,DEBRIS ON ROADWAY
NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,OTHER
NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,"RUT, HOLES"
NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,SHOULDER DEFECT
NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,WORN SURFACE
NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,DEBRIS ON ROADWAY
NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,OTHER
NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,"RUT, HOLES"
NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,SHOULDER DEFECT
NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,WORN SURFACE
NOT DIVIDED,STRAIGHT AND LEVEL,WET,DEBRIS ON ROADWAY
NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS
NOT DIVIDED,STRAIGHT AND LEVEL,WET,OTHER
NOT DIVIDED,STRAIGHT AND LEVEL,WET,"RUT, HOLES"
NOT DIVIDED,STRAIGHT AND LEVEL,WET,SHOULDER DEFECT
NOT DIVIDED,STRAIGHT AND LEVEL,WET,UNKNOWN
NOT DIVIDED,STRAIGHT AND LEVEL,WET,WORN SURFACE
NOT DIVIDED,STRAIGHT ON GRADE,DRY,DEBRIS ON ROADWAY
NOT DIVIDED,STRAIGHT ON GRADE,DRY,NO DEFECTS
NOT DIVIDED,STRAIGHT ON GRADE,DRY,OTHER
NOT DIVIDED,STRAIGHT ON GRADE,DRY,"RUT, HOLES"
NOT DIVIDED,STRAIGHT ON GRADE,DRY,SHOULDER DEFECT
NOT DIVIDED,STRAIGHT ON GRADE,DRY,UNKNOWN
NOT DIVIDED,STRAIGHT ON GRADE,DRY,WORN SURFACE
NOT DIVIDED,STRAIGHT ON GRADE,ICE,NO DEFECTS
NOT DIVIDED,STRAIGHT ON GRADE,ICE,UNKNOWN
NOT DIVIDED,STRAIGHT ON GRADE,ICE,WORN SURFACE
NOT DIVIDED,STRAIGHT ON GRADE,OTHER,DEBRIS ON ROADWAY
NOT DIVIDED,STRAIGHT ON GRADE,OTHER,OTHER
NOT DIVIDED,STRAIGHT ON GRADE,OTHER,WORN SURFACE
NOT DIVIDED,STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS
NOT DIVIDED,STRAIGHT ON GRADE,SNOW OR SLUSH,"RUT, HOLES"
NOT DIVIDED,STRAIGHT ON GRADE,SNOW OR SLUSH,SHOULDER DEFECT
NOT DIVIDED,STRAIGHT ON GRADE,SNOW OR SLUSH,UNKNOWN
NOT DIVIDED,STRAIGHT ON GRADE,UNKNOWN,NO DEFECTS
NOT DIVIDED,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN
NOT DIVIDED,STRAIGHT ON GRADE,WET,NO DEFECTS
NOT DIVIDED,STRAIGHT ON GRADE,WET,OTHER
NOT DIVIDED,STRAIGHT ON GRADE,WET,"RUT, HOLES"
NOT DIVIDED,STRAIGHT ON GRADE,WET,SHOULDER DEFECT
NOT DIVIDED,STRAIGHT ON GRADE,WET,UNKNOWN
NOT DIVIDED,STRAIGHT ON GRADE,WET,WORN SURFACE
NOT DIVIDED,STRAIGHT ON HILLCREST,DRY,NO DEFECTS
NOT DIVIDED,STRAIGHT ON HILLCREST,DRY,"RUT, HOLES"
NOT DIVIDED,STRAIGHT ON HILLCREST,DRY,UNKNOWN
NOT DIVIDED,STRAIGHT ON HILLCREST,DRY,WORN SURFACE
NOT DIVIDED,STRAIGHT ON HILLCREST,ICE,NO DEFECTS
NOT DIVIDED,STRAIGHT ON HILLCREST,ICE,UNKNOWN
NOT DIVIDED,STRAIGHT ON HILLCREST,SNOW OR SLUSH,NO DEFECTS
NOT DIVIDED,STRAIGHT ON HILLCREST,SNOW OR SLUSH,UNKNOWN
NOT DIVIDED,STRAIGHT ON HILLCREST,SNOW OR SLUSH,WORN SURFACE
NOT DIVIDED,STRAIGHT ON HILLCREST,UNKNOWN,NO DEFECTS
NOT DIVIDED,STRAIGHT ON HILLCREST,UNKNOWN,UNKNOWN
NOT DIVIDED,STRAIGHT ON HILLCREST,WET,NO DEFECTS
NOT DIVIDED,STRAIGHT ON HILLCREST,WET,"RUT, HOLES"
NOT DIVIDED,STRAIGHT ON HILLCREST,WET,UNKNOWN
NOT REPORTED,"CURVE, LEVEL",DRY,NO DEFECTS
NOT REPORTED,STRAIGHT AND LEVEL,DRY,DEBRIS ON ROADWAY
NOT REPORTED,STRAIGHT AND LEVEL,DRY,NO DEFECTS
NOT REPORTED,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
NOT REPORTED,STRAIGHT AND LEVEL,DRY,UNKNOWN
NOT REPORTED,STRAIGHT AND LEVEL,DRY,WORN SURFACE
NOT REPORTED,STRAIGHT AND LEVEL,ICE,NO DEFECTS
NOT REPORTED,STRAIGHT AND LEVEL,ICE,OTHER
NOT REPORTED,STRAIGHT AND LEVEL,ICE,UNKNOWN
NOT REPORTED,STRAIGHT AND LEVEL,OTHER,NO DEFECTS
NOT REPORTED,STRAIGHT AND LEVEL,OTHER,OTHER
NOT REPORTED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
NOT REPORTED,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
NOT REPORTED,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
NOT REPORTED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
NOT REPORTED,STRAIGHT AND LEVEL,WET,NO DEFECTS
NOT REPORTED,STRAIGHT AND LEVEL,WET,UNKNOWN
NOT REPORTED,STRAIGHT ON GRADE,DRY,NO DEFECTS
NOT REPORTED,STRAIGHT ON GRADE,DRY,UNKNOWN
NOT REPORTED,STRAIGHT ON GRADE,WET,NO DEFECTS
NOT REPORTED,STRAIGHT ON HILLCREST,DRY,NO DEFECTS
ONE-WAY,CURVE ON GRADE,DRY,NO DEFECTS
ONE-WAY,CURVE ON GRADE,WET,NO DEFECTS
ONE-WAY,CURVE ON HILLCREST,DRY,NO DEFECTS
ONE-WAY,"CURVE, LEVEL",DRY,DEBRIS ON ROADWAY
ONE-WAY,"CURVE, LEVEL",DRY,NO DEFECTS
ONE-WAY,"CURVE, LEVEL",DRY,OTHER
ONE-WAY,"CURVE, LEVEL",DRY,UNKNOWN
ONE-WAY,"CURVE, LEVEL",DRY,WORN SURFACE
ONE-WAY,"CURVE, LEVEL",SNOW OR SLUSH,NO DEFECTS
ONE-WAY,"CURVE, LEVEL",UNKNOWN,NO DEFECTS
ONE-WAY,"CURVE, LEVEL",UNKNOWN,UNKNOWN
ONE-WAY,"CURVE, LEVEL",WET,NO DEFECTS
ONE-WAY,"CURVE, LEVEL",WET,UNKNOWN
ONE-WAY,STRAIGHT AND LEVEL,DRY,DEBRIS ON ROADWAY
ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS
ONE-WAY,STRAIGHT AND LEVEL,DRY,OTHER
ONE-WAY,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
ONE-WAY,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
ONE-WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN
ONE-WAY,STRAIGHT AND LEVEL,DRY,WORN SURFACE
ONE-WAY,STRAIGHT AND LEVEL,ICE,NO DEFECTS
ONE-WAY,STRAIGHT AND LEVEL,ICE,OTHER
ONE-WAY,STRAIGHT AND LEVEL,ICE,"RUT, HOLES"
ONE-WAY,STRAIGHT AND LEVEL,ICE,UNKNOWN
ONE-WAY,STRAIGHT AND LEVEL,ICE,WORN SURFACE
ONE-WAY,STRAIGHT AND LEVEL,OTHER,DEBRIS ON ROADWAY
ONE-WAY,STRAIGHT AND LEVEL,OTHER,NO DEFECTS
ONE-WAY,STRAIGHT AND LEVEL,OTHER,OTHER
ONE-WAY,STRAIGHT AND LEVEL,OTHER,"RUT, HOLES"
ONE-WAY,STRAIGHT AND LEVEL,OTHER,UNKNOWN
ONE-WAY,STRAIGHT AND LEVEL,OTHER,WORN SURFACE
ONE-WAY,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",DEBRIS ON ROADWAY
ONE-WAY,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",OTHER
ONE-WAY,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",UNKNOWN
ONE-WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
ONE-WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,OTHER
ONE-WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,"RUT, HOLES"
ONE-WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
ONE-WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,WORN SURFACE
ONE-WAY,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
ONE-WAY,STRAIGHT AND LEVEL,UNKNOWN,OTHER
ONE-WAY,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
ONE-WAY,STRAIGHT AND LEVEL,UNKNOWN,WORN SURFACE
ONE-WAY,STRAIGHT AND LEVEL,WET,DEBRIS ON ROADWAY
ONE-WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS
ONE-WAY,STRAIGHT AND LEVEL,WET,OTHER
ONE-WAY,STRAIGHT AND LEVEL,WET,"RUT, HOLES"
ONE-WAY,STRAIGHT AND LEVEL,WET,SHOULDER DEFECT
ONE-WAY,STRAIGHT AND LEVEL,WET,UNKNOWN
ONE-WAY,STRAIGHT AND LEVEL,WET,WORN SURFACE
ONE-WAY,STRAIGHT ON GRADE,DRY,NO DEFECTS
ONE-WAY,STRAIGHT ON GRADE,DRY,OTHER
ONE-WAY,STRAIGHT ON GRADE,DRY,"RUT, HOLES"
ONE-WAY,STRAIGHT ON GRADE,DRY,UNKNOWN
ONE-WAY,STRAIGHT ON GRADE,DRY,WORN SURFACE
ONE-WAY,STRAIGHT ON GRADE,ICE,NO DEFECTS
ONE-WAY,STRAIGHT ON GRADE,ICE,UNKNOWN
ONE-WAY,STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS
ONE-WAY,STRAIGHT ON GRADE,SNOW OR SLUSH,UNKNOWN
ONE-WAY,STRAIGHT ON GRADE,UNKNOWN,NO DEFECTS
ONE-WAY,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN
ONE-WAY,STRAIGHT ON GRADE,WET,NO DEFECTS
ONE-WAY,STRAIGHT ON GRADE,WET,"RUT, HOLES"
ONE-WAY,STRAIGHT ON GRADE,WET,UNKNOWN
ONE-WAY,STRAIGHT ON HILLCREST,DRY,NO DEFECTS
ONE-WAY,STRAIGHT ON HILLCREST,DRY,"RUT, HOLES"
ONE-WAY,STRAIGHT ON HILLCREST,DRY,UNKNOWN
ONE-WAY,STRAIGHT ON HILLCREST,ICE,NO DEFECTS
ONE-WAY,STRAIGHT ON HILLCREST,SNOW OR SLUSH,NO DEFECTS
ONE-WAY,STRAIGHT ON HILLCREST,UNKNOWN,UNKNOWN
ONE-WAY,STRAIGHT ON HILLCREST,WET,NO DEFECTS
ONE-WAY,STRAIGHT ON HILLCREST,WET,UNKNOWN
ONE-WAY,STRAIGHT ON HILLCREST,WET,WORN SURFACE
OTHER,CURVE ON GRADE,DRY,NO DEFECTS
OTHER,CURVE ON GRADE,DRY,UNKNOWN
OTHER,CURVE ON GRADE,SNOW OR SLUSH,NO DEFECTS
OTHER,CURVE ON GRADE,WET,NO DEFECTS
OTHER,CURVE ON HILLCREST,DRY,NO DEFECTS
OTHER,"CURVE, LEVEL",DRY,NO DEFECTS
OTHER,"CURVE, LEVEL",DRY,UNKNOWN
OTHER,"CURVE, LEVEL","SAND, MUD, DIRT",NO DEFECTS
OTHER,"CURVE, LEVEL",SNOW OR SLUSH,NO DEFECTS
OTHER,"CURVE, LEVEL",WET,NO DEFECTS
OTHER,"CURVE, LEVEL",WET,SHOULDER DEFECT
OTHER,"CURVE, LEVEL",WET,UNKNOWN
OTHER,STRAIGHT AND LEVEL,DRY,DEBRIS ON ROADWAY
OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS
OTHER,STRAIGHT AND LEVEL,DRY,OTHER
OTHER,STRAIGHT AND LEVEL,DRY,"RUT, HOLES"
OTHER,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT
OTHER,STRAIGHT AND LEVEL,DRY,UNKNOWN
OTHER,STRAIGHT AND LEVEL,DRY,WORN SURFACE
OTHER,STRAIGHT AND LEVEL,ICE,NO DEFECTS
OTHER,STRAIGHT AND LEVEL,ICE,OTHER
OTHER,STRAIGHT AND LEVEL,ICE,UNKNOWN
OTHER,STRAIGHT AND LEVEL,OTHER,NO DEFECTS
OTHER,STRAIGHT AND LEVEL,OTHER,OTHER
OTHER,STRAIGHT AND LEVEL,OTHER,"RUT, HOLES"
OTHER,STRAIGHT AND LEVEL,OTHER,UNKNOWN
OTHER,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",DEBRIS ON ROADWAY
OTHER,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",NO DEFECTS
OTHER,STRAIGHT AND LEVEL,"SAND, MUD, DIRT",OTHER
OTHER,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS
OTHER,STRAIGHT AND LEVEL,SNOW OR SLUSH,OTHER
OTHER,STRAIGHT AND LEVEL,SNOW OR SLUSH,"RUT, HOLES"
OTHER,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN
OTHER,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS
OTHER,STRAIGHT AND LEVEL,UNKNOWN,OTHER
OTHER,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN
OTHER,STRAIGHT AND LEVEL,WET,NO DEFECTS
OTHER,STRAIGHT AND LEVEL,WET,OTHER
OTHER,STRAIGHT AND LEVEL,WET,"RUT, HOLES"
OTHER,STRAIGHT AND LEVEL,WET,SHOULDER DEFECT
OTHER,STRAIGHT AND LEVEL,WET,UNKNOWN
OTHER,STRAIGHT AND LEVEL,WET,WORN SURFACE
OTHER,STRAIGHT ON GRADE,DRY,NO DEFECTS
OTHER,STRAIGHT ON GRADE,DRY,OTHER
OTHER,STRAIGHT ON GRADE,DRY,SHOULDER DEFECT
OTHER,STRAIGHT ON GRADE,DRY,UNKNOWN
OTHER,STRAIGHT ON GRADE,"SAND, MUD, DIRT","RUT, HOLES"
OTHER,STRAIGHT ON GRADE,SNOW OR SLUSH,NO DEFECTS
OTHER,STRAIGHT ON GRADE,SNOW OR SLUSH,UNKNOWN
OTHER,STRAIGHT ON GRADE,UNKNOWN,NO DEFECTS
OTHER,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN
OTHER,STRAIGHT ON GRADE,WET,NO DEFECTS
OTHER,STRAIGHT ON GRADE,WET,WORN SURFACE
OTHER,STRAIGHT ON HILLCREST,DRY,NO DEFECTS
OTHER,STRAIGHT ON HILLCREST,DRY,UNKNOWN
OTHER,STRAIGHT ON HILLCREST,DRY,WORN SURFACE
OTHER,STRAIGHT ON HILLCREST,"SAND, MUD, DIRT",DEBRIS ON ROADWAY
OTHER,STRAIGHT ON HILLCREST,WET,WORN SURFACE
PARKING LOT,CURVE ON GRADE,DRY,NO DEFECTS
PARKING LOT,CURVE ON GRADE,DRY,OTHER
PARKING LOT,CURVE ON GRADE,UNKNOWN,UNKNOWN
